filename,FaceOcclusion,gender
database3/database3/m.0256vn/81-FaceId-0_align.webp,0.0469952,x
database3/database3/m.01dgwg/29-FaceId-0_align.webp,0.019992154,x
database3/database3/m.02l0nk/72-FaceId-0_align.webp,0.01799918,x
database3/database3/m.026jp3/94-FaceId-1_align.webp,0.017806988,x
database3/database3/m.01ncgyv/24-FaceId-0_align.webp,0.034483235,x
database3/database3/m.02kx7g/42-FaceId-0_align.webp,0.24581635,x
database3/database3/m.02b1t9/89-FaceId-0_align.webp,0.04420818,x
database3/database3/m.027ndl1/5-FaceId-0_align.webp,0.025929607,x
database3/database3/m.0280y3d/15-FaceId-0_align.webp,0.095466554,x
database3/database3/m.01bqmg/52-FaceId-0_align.webp,0.023268411,x
database3/database3/m.01rqtb8/39-FaceId-0_align.webp,0.03858853,x
database3/database3/m.026d39_/53-FaceId-0_align.webp,0.026003506,x
database3/database3/m.027fgzm/14-FaceId-0_align.webp,0.026815008,x
database3/database3/m.026mzh/43-FaceId-0_align.webp,0.036291264,x
database3/database3/m.02gtr/19-FaceId-0_align.webp,0.024944166,x
database3/database3/m.01w2hnz/67-FaceId-0_align.webp,0.044187255,x
database3/database3/m.027y_/1-FaceId-0_align.webp,0.025048427,x
database3/database3/m.0277dcq/8-FaceId-0_align.webp,0.019026399,x
database3/database3/m.015wkb/78-FaceId-0_align.webp,0.060908496,x
database3/database3/m.01v7mn/98-FaceId-0_align.webp,0.014996609,x
database3/database3/m.017fg7/46-FaceId-0_align.webp,0.034327276,x
database3/database3/m.029cvr/81-FaceId-0_align.webp,0.0635001,x
database3/database3/m.027fxnv/10-FaceId-0_align.webp,0.016148342,x
database3/database3/m.01s0hl/29-FaceId-0_align.webp,0.024753857,x
database3/database3/m.01l8n7l/29-FaceId-0_align.webp,0.016786767,x
database3/database3/m.01n23y8/47-FaceId-0_align.webp,0.08218126,x
database3/database3/m.01vvzb1/78-FaceId-0_align.webp,0.01369708,x
database3/database3/m.01rb7m8/39-FaceId-0_align.webp,0.039237693,x
database3/database3/m.01sv0c/9-FaceId-0_align.webp,0.02992079,x
database3/database3/m.01903y/109-FaceId-0_align.webp,0.037840284,x
database3/database3/m.02712zy/98-FaceId-0_align.webp,0.021850714,x
database3/database3/m.01vdht_/94-FaceId-0_align.webp,0.026496671,x
database3/database3/m.01y6p4/80-FaceId-0_align.webp,0.019120838,x
database3/database3/m.01qqzlt/32-FaceId-0_align.webp,0.027544755,x
database3/database3/m.019ghj/94-FaceId-0_align.webp,0.013710709,x
database3/database3/m.027t5rk/18-FaceId-0_align.webp,0.023978297,x
database3/database3/m.01c3ww/45-FaceId-0_align.webp,0.032472894,x
database3/database3/m.027j653/62-FaceId-0_align.webp,0.053150117,x
database3/database3/m.0288m2k/83-FaceId-0_align.webp,0.01813619,x
database3/database3/m.01pjk0c/98-FaceId-1_align.webp,0.046513133,x
database3/database3/m.0274sdf/85-FaceId-0_align.webp,0.023761634,x
database3/database3/m.022v_g/25-FaceId-0_align.webp,0.020269817,x
database3/database3/m.011t6/20-FaceId-0_align.webp,0.04089161,x
database3/database3/m.01gdq0/78-FaceId-0_align.webp,0.02039824,x
database3/database3/m.01nb4b/69-FaceId-0_align.webp,0.01357544,x
database3/database3/m.01pp5l0/22-FaceId-0_align.webp,0.028430637,x
database3/database3/m.01kk0s/28-FaceId-0_align.webp,0.023189783,x
database3/database3/m.0262k2t/53-FaceId-0_align.webp,0.017658371,x
database3/database3/m.027x63/66-FaceId-0_align.webp,0.013783433,x
database3/database3/m.01h9ls/21-FaceId-0_align.webp,0.029066026,x
database3/database3/m.01zg98/109-FaceId-0_align.webp,0.025062652,x
database3/database3/m.01n87r_/34-FaceId-0_align.webp,0.02539621,x
database3/database3/m.02lq10/58-FaceId-0_align.webp,0.044037893,x
database3/database3/m.026h9hk/86-FaceId-0_align.webp,0.09300041,x
database3/database3/m.02k6rq/94-FaceId-0_align.webp,0.036374632,x
database3/database3/m.01c678/45-FaceId-0_align.webp,0.04220084,x
database3/database3/m.027409k/88-FaceId-0_align.webp,0.02429094,x
database3/database3/m.01l1l6_/6-FaceId-0_align.webp,0.0196664,x
database3/database3/m.02317g/13-FaceId-0_align.webp,0.029979207,x
database1/img00011489.webp,0.02972504,x
database3/database3/m.012w36/65-FaceId-0_align.webp,0.040154293,x
database3/database3/m.026xm54/97-FaceId-0_align.webp,0.025794137,x
database3/database3/m.01bygs/22-FaceId-0_align.webp,0.055346243,x
database3/database3/m.026bgg5/22-FaceId-0_align.webp,0.022353811,x
database3/database3/m.0260ghm/81-FaceId-1_align.webp,0.039197735,x
database3/database3/m.027c7dv/56-FaceId-0_align.webp,0.03576605,x
database3/database3/m.01ny50n/43-FaceId-0_align.webp,0.021784868,x
database3/database3/m.01yqwx/85-FaceId-0_align.webp,0.02330527,x
database3/database3/m.01vksk/72-FaceId-0_align.webp,0.043939143,x
database1/img00015899.webp,0.022088625,x
database3/database3/m.017_pb/85-FaceId-0_align.webp,0.03592986,x
database3/database3/m.01m59w/88-FaceId-1_align.webp,0.045147147,x
database3/database3/m.01l_1g7/88-FaceId-0_align.webp,0.060626872,x
database3/database3/m.01lyxk/18-FaceId-0_align.webp,0.076348595,x
database3/database3/m.01x1z42/64-FaceId-0_align.webp,0.025369316,x
database3/database3/m.027nghn/21-FaceId-0_align.webp,0.039043233,x
